Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005211659230538712,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,String Compression,92.4,0.0060212023405973,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Subarray Sum Equals K,81.7,0.0047566736932170865,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,LRU Cache,81.7,0.004754638885714521,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Koko Eating Bananas,81.7,0.005015274701549211,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Basic Calculator,81.7,0.004696590014761332,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Car Fleet,81.7,0.005526928235201304,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
EASY,Remove All Adjacent Duplicates In String,81.7,0.007345626562525531,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
